audio_path,label,split
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_0.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_1.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_2.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_3.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_4.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_5.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_6.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_7.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_8.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_9.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_10.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_11.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_12.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_13.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_14.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_15.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_16.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_17.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_18.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_19.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_20.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_21.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_22.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_23.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_24.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_25.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_26.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_27.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_28.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_29.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_30.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_31.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_32.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_33.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_34.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_35.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_36.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_37.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_38.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_39.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_40.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_41.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_42.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_43.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_44.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_45.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_46.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_47.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_48.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_49.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_50.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_51.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_52.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_53.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_54.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_55.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_56.wav,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/audio/class_0/sample_57.wav,0,train
