image_path,label,split
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_0.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_1.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_2.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_3.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_4.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_5.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_6.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_7.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_8.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_9.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_10.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_11.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_12.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_13.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_14.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_15.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_16.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_17.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_18.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_19.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_20.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_21.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_22.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_23.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_24.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_25.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_26.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_27.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_28.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_29.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_30.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_31.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_32.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_33.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_34.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_35.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_36.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_37.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_38.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_39.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_40.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_41.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_42.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_43.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_44.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_45.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_46.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_47.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_48.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_49.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_50.jpg,0,train
/home/user/Sentiment_Analysis/mern-sentiment/datasets/images/class_0/sample_51.jpg,0,train
